,nickname,text,score,like,dislike,time,watch_movie
1317,폭주워니(meta****),영웅의 이름값에 기댄 망작... ahah~ ㅠㅠ,4,0,0,2012-12-16 15:24:00,0
1318,9703****,진심 말이 필요없다. 히어로 영화의 전성시대를 열어준 작풓,10,0,0,2012-12-16 00:28:00,0
1319,히카루(itsh****),로키 불쌍함,8,0,0,2012-12-15 12:08:00,0
1320,lsye****,정~말 재밋는 영화 꼭 보시기를 또 스토리가 막장이니 하지마시고 그냥 재미로만 보면 정말 재밌는 영화입니다.,10,0,0,2012-12-14 21:46:00,0
1321,rose****,진심 재밌다!중간중간 코믹요소도 들어가있구보믄서 유치하단 생각은 안들었는데1점던지는 성격 베베꼬인 사람들은 머지?,10,0,0,2012-12-14 12:16:00,0
1322,cjsw****,마블의 종합선물세트-근데 스파이더맨은 2편에선 계약하는가,10,0,0,2012-12-14 05:58:00,0
1323,줄넘기(bell****),재밌게 봤음,9,0,0,2012-12-14 02:18:00,0
1324,연(weap****),재미로 봐야지 이런건 어디 닼나를 갖다대노 재미 흥미로는 10점임,10,0,0,2012-12-13 22:21:00,0
1325,dsdfasd(gb15****),대박~,10,0,0,2012-12-12 18:30:00,0
1326,Courage(qrss****),꽤잼잇음,9,0,0,2012-12-12 10:47:00,0
1327,bbb2****,실망하면서도 찾게되는 히어로 뮤비.,6,0,0,2012-12-11 19:31:00,0
1328,김밥장수(luon****),재밋엇음,9,0,0,2012-12-10 17:55:00,0
1329,이준영(lada****),졸잼,10,0,0,2012-12-09 02:39:00,0
1330,todo****,유머러스하고 쾌감있는 게 히어로 무비의 매력인 거 같다!!,8,0,0,2012-12-07 21:22:00,0
1331,gty2697(chan****),마마 ... 이게 영화지,10,0,0,2012-12-05 17:21:00,0
1332,tter****,부활한 마블에 히어로들,6,0,0,2012-12-05 16:12:00,0
1333,낭만소년(live****),두번보고 세번봐라,10,0,0,2012-12-05 09:20:00,0
1334,개럭(jtot****),극장에서 두 번 봐도 재밌다...,10,0,0,2012-12-03 01:26:00,0
1335,kdju****,헐크 에드워드 노튼으로 돌려주세요,9,0,0,2012-12-03 00:34:00,0
1336,스매니아(pass****),아 OO 동심으로 돌아갔다,10,0,0,2012-12-02 03:59:00,0
1337,lure****,아낰ㅋ밑에 다크나이트? 배트맨나오라는거냨ㅋㅋㅋ그건 DC잖앜ㅋㅋㅋㅋㅋㅋ울버린이면 모를까,10,0,0,2012-12-01 12:32:00,0
1338,alst****,스파이더맨하고 다크나이트도 있었으면...,7,0,0,2012-11-30 21:51:00,0
1339,owea****,개인적으로 스파이더맨도 나와야되는데...,10,0,0,2012-11-30 07:55:00,0
1340,FreAKy(lhc1****),토니스타크♥,10,0,0,2012-11-30 02:01:00,0
1341,Knight(rapi****),잘 만들었네,10,0,0,2012-11-29 23:17:00,0
1342,러뽀예(k384****),한바탕 재밌게 봤음 됐지 ㅋ,10,0,0,2012-11-27 23:33:00,0
1343,안보케러(lchy****),Tom Hiddleston 나오니까 봤다,10,0,0,2012-11-27 21:37:00,0
1344,mo78****,히들이 내꺼,10,0,0,2012-11-27 19:22:00,0
1345,소원(tjgu****),초반에 너무 지루해서 잠들었음.....,7,0,0,2012-11-27 17:35:00,0
1346,제노(stze****),"그냥 한 번 보고 다시는 안 떠오르는 오락영화.. 볼거리는 충실하다. 근데, 제우스 vs 이소룡이 붙으면 되냐??  캐릭터간의 심해도 너~~~무 심한 불균형이 안습이다.",5,0,0,2012-11-27 00:41:00,0
1347,psyche(seey****),재밌게 잘 만들어진 오락영화의 정석.,8,0,0,2012-11-26 13:19:00,0
1348,RADIO VOICE(thri****),CG짱인듯ㅋㅋㅋㅋ,8,0,0,2012-11-26 12:37:00,0
1349,unky****,오글거리고 유치하긴한데 재밌긴했음 CG도 진짜 훌륭하고! 근데 난 영화 내용보다 로다주 깐족깐족 거리는게 너무너무 좋았음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무귀여워ㅋㅋㅋㅋㅋㅋㅋ크리스 몸매도 완전 짱이고 히들이도 잘생겼고. 눈 호강...,9,0,0,2012-11-26 06:00:00,0
1350,rora****,잘 만들었다. 9점 모두 기술점수 중... 1점은 배우들에게. 히어로물이 그러하듯 뻔하고 유치하지만 볼거리만큼은 확실하게 제공한다.,9,0,0,2012-11-26 05:05:00,0
1351,스누피(meta****),재밌구만,8,0,0,2012-11-26 00:25:00,0
1352,seof****,"찹쌀떡, 쇳덩어리, 브라우니, 뱀장어, 쥐새끼2마리를 섞으니 황금 덩어리가 나왔네?",8,0,0,2012-11-25 22:45:00,0
1353,유나짱(marc****),다들 멋있구려,10,0,0,2012-11-24 14:16:00,0
1354,개밥바라기별(iya1****),영화 보는 내내 오글거려서. ..유치함.. 영웅은 한명이면 족하다. 이 영화는 애들이  재밌게 볼 듯 ..요거.. 걍 팬서비스 영화다,5,0,0,2012-11-24 02:35:00,0
1355,드래곤(jj22****),와 이렇게 재밌을줄이야!!!!!!!!!!!!^^,10,0,0,2012-11-23 23:40:00,0
1356,jun9****,내가 3년동안 기다린영화 기대를 저버리지 않는다,10,0,0,2012-11-23 18:26:00,0
1357,movie(soqu****),올스타군단 특유의 산만함이 보이지 않으며 유머와 액션이 살아있다,9,0,0,2012-11-23 13:21:00,0
1358,NathanHL(seve****),재밌어요 ^^,8,0,0,2012-11-22 13:48:00,0
1359,애플(kkm7****),현재까지 히어로 영화로서 놀란의 배트맨3부작 다음으로 최고인듯 ㅋ,10,0,0,2012-11-22 00:45:00,0
1360,hany****,아이언맨이랑 토르가 멋지다,10,0,0,2012-11-21 18:10:00,0
1361,아디오스(meta****),이...이게 재미가 없다고...????,10,0,0,2012-11-21 13:35:00,0
1362,xscr****,코비 스멀더스 나의 이상형이 되었넹 눈이 정말로 이뻐. 글고 캡틴아메리카보고 애들영화인줄 알았는 아이멘시리즈보다 재미있다.,9,0,0,2012-11-19 02:44:00,0
1363,kimm****,아이언맨아이언맨 2토르 : 천둥의 신퍼스트 어벤져를 보고난 후어벤져스를 봐야 재밋다,10,0,0,2012-11-17 13:05:00,0
1364,jdh5****,어벤져스!,10,0,0,2012-11-17 12:20:00,0
1365,고스톱(jou1****),역시 영화는 할리우드 액션영화,9,0,0,2012-11-17 04:26:00,0
1366,애벌래(ucat****),개드립도 재미있고 정말 영웅들이 뭉치면 서로의 특징을 잘 뽑아내기 어려울텐데도 불구하고 조화도 잘되면서 특징도 잘살린 작품!,10,0,0,2012-11-16 17:30:00,0
1367,와이씨(ioen****),잘 만든 액션 영화,8,0,0,2012-11-15 16:55:00,0
1368,rlax****,왓!!!,7,0,0,2012-11-14 19:39:00,0
1369,Fuck토토스포츠개년아(pupu****),재밌다!!!!!!!!!재밌어!!!!!!!!!!!1ㅋㅋㅋㅋ,10,0,0,2012-11-14 01:07:00,0
1370,Dreamer(cold****),재미있습니다. 이영화볼당시 최근2년사이에 본 영화중 가장재밌다고 느낌,10,0,0,2012-11-13 17:01:00,0
1371,세그리스(pink****),아이디어하고 소재는 정말 참신했는데 뭔가 부족ㅋㅋㅋ 아 정말 토르 망치좀 어떻게 해주지,7,0,0,2012-11-13 16:44:00,0
1372,hiky****,기대를 너무많이했나...영웅들의 능력치도 생각보단 그닥이었고 함께모아놓았을때의 웅장함도 딱히..였다. 악당의 생김새도 좀더 악하게 생겼으면 좋았을것같다 약해빠졌음. 공중비행신은 좋았고.. 다크나이트같은것보단 유치했지...,7,0,0,2012-11-13 12:52:00,0
1373,비상(alan****),각 영화의 주인공인 히어로였을때는 그래도 괜찮았는데... 이렇게 다 모아 놓으니까 조잡한 느낌을 지울수가 없고 히어로의 특별함이 없어졌다...,6,0,0,2012-11-11 23:35:00,0
1374,해바라기(o0o1****),이 영화는 헐크와 로키가 살렸다 ㅋㅋㅋㅋㅋㅋㅋ,7,0,0,2012-11-11 20:29:00,0
1375,0r0i****,히어로들 모아놨다는거랑 로키빼곤 그닥 재밌지 않다.,6,0,0,2012-11-11 18:27:00,0
