,nickname,text,score,like,dislike,time,watch_movie
4907,황태연(sync****),가장 아름다운 피날레 였습니다,10,2,0,2019-04-24 19:41:00,0
4908,델리아(awer****),휘몰아치는 다양한 감정과 11년간 쌓아온 히어로물의 종합선물세트,10,2,0,2019-04-24 19:41:00,관람객
4909,재민느(ljmi****),오늘도보고 금요일에 또 버러간다,10,2,0,2019-04-24 19:40:00,0
4910,으항항(0103****),영화가 끝나고 나니 내옆에 토르가 있었다,10,2,0,2019-04-24 19:40:00,0
4911,interes(rlxo****),마블시리즈 다 본사람이 보면 더좋음,8,2,0,2019-04-24 19:39:00,0
4912,춘박(junw****),깔끔한 결말과 액션 감동 스토리를 완벽하게 끝맺었음에도 여운이 길게 남는다...,10,2,0,2019-04-24 19:37:00,0
4913,브루클린더버거조인트(dls9****),굳굳 근데 마블영화를 어느 정도 보고 보면 더 이해도 잘 되고 재밌을듯 안그러면 지루하거나 이해 잘 못할수도ㅜ난 마블영화 거의 다 보고 봐서 재밌었음 그리고 앞으로 보실 분들은 각오하고 가셔야할듯 사람들 엄청 왔다갔...,10,2,0,2019-04-24 19:36:00,0
4914,정근씨(keun****),나의 20대를 채워줘서 감사하다.,10,2,0,2019-04-24 19:36:00,0
4915,eshe****,이전 마블시리즈 전부 본사람들을 위한 헌정영화.이번에 발견된점 하나 스칼렛위치>토르 스칼렛위치가 노템 타노스잡을수 있음. 캡마와 스칼렛 둘이 붙으면 세기의대결 나올듯,10,2,0,2019-04-24 19:35:00,0
4916,묻지마(mibu****),전투신이 조금 부족했지만 마지막 감동이 좋네요,9,2,0,2019-04-24 19:34:00,0
4917,102(one0****),내 마블과 관련된 추억을 모두 불러일으키는 영화. 살아생전 보게 해줘서서 고맙다 마블에게. 3000점이다,10,2,0,2019-04-24 19:33:00,0
4918,veny(veny****),눈물 흘리면서 봣어요..,10,2,0,2019-04-24 19:33:00,관람객
4919,아담스(dudd****),어벤져스 어샘블!!!!,10,2,0,2019-04-24 19:33:00,관람객
4920,비비빅바(yama****),일단 전 한번 더볼껍니다..,10,2,0,2019-04-24 19:29:00,0
4921,티키타(kawi****),반지의 제왕이후로 마지막 전투신에서 소름돋긴 처음,10,2,0,2019-04-24 18:59:00,0
4922,니시코리(sung****),주의할점: 마블 영화 한두편 건너뛴 사람들은 중간에 렉이 걸릴수 있음.,10,2,0,2019-04-24 18:51:00,0
4923,부자마녀(ring****),약간 초반에 지루한 느낌.3D안경까지 끼고볼정도의 액션씬 없음.걍 스크린 큰 영화관에서 봐도 괜찮음.,8,2,0,2019-04-24 18:48:00,관람객
4924,강기수(llio****),아이언맨 잘가 ㅠㅠ 눈물이났어,10,2,0,2019-04-24 18:47:00,0
4925,김천사(wwww****),영화 늦게 볼 수밖에 없는사람들을 생각해서 스포 자제해주세요ㅠㅠㅠㅎ,10,2,0,2019-04-24 18:43:00,0
4926,b와d사이의c(alsd****),"My heroes, Bye!",10,2,0,2019-04-24 18:43:00,0
4927,미드나잇인파리(pink****),진짜  최고의 영화다.이 영화에서 영향력 가장 큰 사람아이언맨 공감  캡틴아메리카 비공감 누르기,10,2,0,2019-04-24 18:34:00,0
4928,제라블(luck****),3000만큼 재미지네요.,10,2,0,2019-04-24 18:33:00,관람객
4929,송이(iam_****),3시간 동안 울었다.. 하지만 난 그 인연에 행복했다,10,2,0,2019-04-24 18:32:00,0
4930,짜자안(kcw5****),ㅠㅠ진짜 최고 매 장면마다 소름돋고 정말 최고의 결말이었습니다 시간가는 줄 모르고 봄,10,2,0,2019-04-24 18:31:00,0
4931,와즈비(dpel****),이보다 더 완벽한 마무리가 있을 수  있나?,10,2,0,2019-04-24 18:31:00,0
4932,아니이게뭐야(qnqq****),타노스가 내 3시간을 가져갔다,10,2,0,2019-04-24 18:31:00,관람객
4933,좋은세상만들기(kcgf****),최고입미다! 캡틴 아메리카 아이언맨,10,2,0,2019-04-24 18:31:00,관람객
