,nickname,text,score,like,dislike,time,watch_movie
82,아르카디아(ulla****),짱개들이 할리우드에 돈 쳐발라서 중국색 입히려고 하는데 제발 마블에다가는 투자 못하게했으면,10,672,18,2018-04-25 18:12:00,0
83,세느19(bob6****),닥터가 1개가이긴다했지 스타크가살아있어야이긴다는 말인듯 보고나왔는데 일이손에안잡힌다,10,652,12,2018-04-25 13:30:00,0
84,pswd****,"번역가 누구냐...mother fxxx 가 ""어머니""냐?  번역이 좋은 영화 조져서 반개뺐다.. 영화는 두번 봐라! 대박임",9,632,22,2018-04-25 14:45:00,0
85,폭탄발언(shla****),피터 퀼....꼭 그랬어야만 속이 후련했냐!!!,10,626,31,2018-04-25 11:29:00,0
86,inspirit(leah****),끝나고 다 같이 벙쪄있음... 이게 끝난 건가 싶고 끝나고 20분 동안 이게 뭐지 라는 말만 반복함 확실히 재미는 있지만 이게 뭐지...? 본 사람만 알 듯,10,601,20,2018-04-25 12:03:00,0
87,렝루롤(yjh1****),the end game 닥터스트레인지의 대사인데요. 이것은 마지막 단계야 라는 의미도 있지만 체스에서 왕을 잡을때 두는 수를 보고 의미하는 말입니다,10,589,10,2018-04-26 01:20:00,0
88,용이오빠(tige****),정말 149분이 이렇게 빨리 지나가기는 처음이다.... 영화가 끝나지 않기를 바랬다.. 영화관내의 모두가 숨을 죽이면서 봤고.. 다들 자신이 어벤져스인마냥 깊은 패배감과 슬픔을 가진 시선으로 스크린을 바라보고 있었다...,10,595,22,2018-04-25 15:19:00,0
89,비랄(sung****),토르.. 히어로 오브 어벤져스 인정합니다.,10,553,8,2018-04-25 12:58:00,0
90,snoo****,제발 번역가 적폐청산좀 진짜 너무 화납니다 저런 능력없는 사람이 인맥빨로 당당히 번역하고 있다는게 너무 역겹습니다,10,543,7,2018-04-25 20:11:00,0
91,아(msw-****),영화 마지막 쿠키영상의 문양은 '캡틴마블'을 의미합니다.,10,554,19,2018-04-25 13:21:00,0
92,gowl****,블랙펜서 “와칸다포에버” 하고 다같이 달려갈때 솔직히 지렸다 추천ㅋ,10,539,12,2018-04-27 19:51:00,0
93,hjk1****,나는 로키가 제일 인상깊었음. 그눈빛 아직도생각나는데 왜 아무도 거론을안하지 ㄷㄷ,10,530,11,2018-04-26 21:18:00,0
94,심지(ytra****),갑자기 입맛이 없고 우울하네요..,10,537,24,2018-04-25 12:21:00,0
95,만돌(kuma****),덕후들은 만족할만한 디테일을 뽑아냈지만스타로드에게 발암포지션을 맡길줄...아쉽다!Part1인걸로 만족하쟈,9,545,38,2018-04-25 10:53:00,0
96,qodu****,첫째로 이렇게 희망과 꿈이 없는 영화는 처음.. 둘째는 악당인 타노스에게 반하게 되고..셋번째로는 이번편이 끝이 아니고 2부가 나올것을 아니까 제발 영화가 끝나지 않길 바랬다..,10,548,41,2018-04-25 11:36:00,관람객
97,hataegi(glgg****),여기 들어와서 이댓글 보는순간 당신은 이미 스포당한 상태입니다 인터넷끄시고 극장으로 뛰어가세요,9,506,15,2018-04-25 15:33:00,관람객
98,saki****,처발릴거라 예상은했지만.. 많이어둡다. 엔딩크렛딧 올라갈때 나오는 음악조차 어둡다,10,503,13,2018-04-25 12:52:00,0
99,다빈치(ohk3****),2002년 월드컵 4강전 패배한 그날의 느낌. . .졌는데 졸라 잘해서 할 말이 없어,9,492,9,2018-04-26 00:54:00,0
100,라벨로(wjdx****),시리즈가 갈수록 힘이빠지는게 아니라 역대급으로 경신... 다시 예매하러 감 .꼭 아무 스포없이 가세요,10,487,16,2018-04-25 12:38:00,관람객
101,마카리나(kang****),충격의 결말을 맞이하라,9,491,23,2018-04-25 10:53:00,관람객
102,미용계에서 부자(qkdt****),가슴이 아니라 목을 베어야지...,10,462,3,2018-04-25 19:13:00,0
103,네코와24(axdp****),어벤져스:타노스의 무한파워,10,466,19,2018-04-25 11:34:00,0
104,어쿠스틱꼴라보(heli****),주인공은 토르...망치 들고 등장할때 소름~~,10,462,17,2018-04-25 13:07:00,0
