,nickname,text,score,like,dislike,time,watch_movie
212,poda****,히어로물을 평소에 즐겨보지 않는데 이 영화는 전개도 깔끔하고 재밌네요ㅎㅎ무엇보다 주인공이 참 맘에 듭니다 굿굿,10,12,2,2017-06-04 19:56:00,관람객
213,pmj3****,예고편으로 생각했던것 보다 코믹하면 재미있다. 많이 추천해드리고 싶다,10,12,2,2017-06-03 01:55:00,관람객
214,Aku mimpi(manp****),당신을 극장에서 보기위해 40년을 기다렸습니다.,10,12,2,2017-06-01 08:24:00,0
215,Idun(wony****),DC가 해냈습니다 여러분,10,12,2,2017-06-01 01:23:00,0
216,Sunny Side Up(ecaa****),갤 가돗이 아니라 원더우먼 그 자체였음.,10,12,2,2017-06-01 01:11:00,0
217,민솔맘(magi****),"최대 한글 140자까지 가능하며, 스포일러는 삭제될 수 있습니다.주인공들 캐스팅부터 스토리, 액션 다 좋았습니다^^",10,12,2,2017-05-31 14:26:00,0
218,glgl(huj8****),한번 꼭 봐보세요^^짱이요,9,12,2,2017-05-31 12:32:00,0
219,님열라안습(yout****),심야영화보러간보람이있는영화였음..,9,13,3,2017-06-05 00:26:00,관람객
220,다이야(pjh8****),이정도면 잘만는거 아닌감? ㅋㅋ 정말 꿀잼,10,13,3,2017-06-01 07:26:00,0
221,who3****,짜입니다다요~!!!,10,13,3,2017-06-01 07:02:00,관람객
222,kims****,후반이 좀 아쉬웠지만 디씨의 가능성을 열어준 걸크러쉬에 10점을,10,13,3,2017-06-01 05:26:00,0
223,지녀니나노(zxcv****),마지막에 빌런과 전투장면이 단순해서 아쉬웠지만 그것을 제외하면 영화가 말하고자 주제라던지 나머지의 전투 장면의 연출은 정말 보는내내 소름이었다 러브라인을 표현한 표현력도 섬세했다 돈아깝지 않은 영화,9,13,3,2017-05-31 19:46:00,0
224,upgrrr(spir****),플롯도 구린데 액션은 OO 액션감독시말서 쓰게해야된다. 막판 갤가돗 백만볼트 전기공격은 우뢰매의 그것을 보는듯하다. 이 영화는 돈을주고 보기보다는 돈을 받고 보는것이 옳다.,1,15,5,2017-06-17 23:23:00,0
225,하히헤후(kjh3****),ㅋㅋ 평점 내리는놈들 도대체  평소에 어떤영화 보는지 궁금하다 ㅋㅋㅋ레알 액션 스토리 음악 영상미 이정도면 점수 후하게 줘도 되지 않나??,10,15,5,2017-06-01 01:18:00,0
