,nickname,text,score,like,dislike,time,watch_movie
503,늑대(xhrl****),재밌어요 재밌어요 재밌어요,10,9,4,2017-11-16 22:06:00,관람객
504,Skfov(uuiu****),아쿠아맨 생긴거 존섹 존나 내꺼야,10,9,4,2017-11-16 21:01:00,관람객
505,엔젤하트(sang****),이작품이 토르보다 더 재미있었습니다. 여기평점보고 재미없다고 생각하고 봤는데 재미있네요. 롯데시네마에서 봤는데 반응이 다들 재미있다였습니다. 토르3하고 비교하면 안될듯 하네요. 역시 원더우먼이 짱입니다. ~,10,9,4,2017-11-16 18:36:00,0
506,극혐 노리타(lsm0****),아마존 여전사들 쩔고 슈퍼맨도 쩔고!!,10,9,4,2017-11-15 21:09:00,0
507,은하수 02(dbtj****),조스웨던의 손길이 닿은 DC는 성공적이구나,10,9,4,2017-11-15 15:18:00,0
508,이환진(qkdr****),지금까지 디씨가 기억안날정도로 역대급재밋었다,10,9,4,2017-11-15 14:03:00,0
509,uma1****,파워있고 쉴새없는 영상미 덕에 지루하지가않았다,10,9,4,2017-11-15 14:01:00,0
510,생수(park****),확실히 지금까지 dc영화보다는 재미있음,10,9,4,2017-11-15 09:02:00,0
511,tota****,원더우먼 이후 DC가 영화를 제대로 만들기 시작했다는 걸 실감할수 있는 초대형 히어로 영화!,10,10,5,2017-11-15 13:58:00,0
512,pala****,음 기대를 철저히 부시고 짓밟고 깨고 뭉게고 갈아버린 최악의 영화. 간신히 원더우먼이 솔로 무비로 산소 기계 호흡기를 low tidal volume으로 호기말 양압까지 걸어가며 ARDS 환자를 살려냈건만 저스티스 리...,1,11,6,2017-11-23 16:10:00,관람객
513,LauncheR(show****),별점 테러 하는 극혐놈들 때려 죽이고 싶다. 조드 장군처럼 건물 던지고 때려줄까?,9,12,7,2017-11-15 14:22:00,0
514,강현홍(gusg****),영상처리효과 하나는 죽여줍니다,10,12,7,2017-11-15 10:21:00,0
515,dks(anjh****),뭐하는 영화인지 모르겠음 타격감 없음악당 겁나 띨함 상대적으로 영웅들의 우수함보다는 다 하향평준화시키는 영화,2,13,8,2017-11-17 01:59:00,관람객
516,julz2134(julz****),아니 씨발 스토리 빌런은 왜 그따워야 걍 어벤져스 처럼 지능캐하던가 OO같이 약한 힘캐  진짜 포스 도 없고 딴애들 왜 나온거냐  슢스 혼자서 다 해결 하겠더만 이게또 cg까지 OO와 저번 배대슈 이후로 한번만 더믿...,1,14,9,2017-11-15 17:57:00,0
517,후아앙(dant****),평점 테러하는애들 영화 보고 1점주는거냐?? 편갈라서 평점 테러 하는거 안부끄럽냐??,10,14,9,2017-11-15 13:51:00,0
518,pwnz****,평점 태러 하는 놈들 덕분에 갑자기 보고 싶어짐,10,16,11,2017-11-15 13:58:00,0
