,nickname,text,score,like,dislike,time,watch_movie
199,YNWA 96 Liverpool(nice****),스크린X로보고왔습니다  한국영화의 고질병 스크린독점 너무하더군요  마약왕 -_- OOO기영화입니다 그리고 아쿠아맨 영상부터 스토리 부족한점 하나도없네요,10,18,3,2018-12-19 18:26:00,0
200,컴트루(perk****),볼거리 스토리 모두 좋습니다DC 걸작,10,19,4,2018-12-21 07:51:00,0
201,복캣(iceb****),IMAX 3D 관람 필수! 아바타이후 이런 압도적인 3D 체험은 실로 오랫만!,9,19,4,2018-12-19 20:04:00,0
202,inhi****,솔직하게 최근에 본 오락영화 중 최고였다,10,20,5,2018-12-21 14:40:00,0
203,쎈(good****),오랜만에 히어로물 잼나게 봤네요,10,20,5,2018-12-19 18:12:00,0
204,바퀴님(bloo****),드디어 DC가 해냈습니다 ! ㅠㅠ,10,21,6,2018-12-19 20:24:00,0
205,hughnew(hwct****),나는 잘 모르겠다..CG떡칠하면 영상미 좋은건가..배경이 바다속이라기 보다 우주공간에 물고기 풀어놓은 느낌..전투씬은 모바일게임 광고 보는 느낌이었어..물속에서 헤엄도 안치는데 이동이 가능하고..그리고 DC는 왜 항...,3,22,7,2019-01-08 20:05:00,0
206,김치만(tech****),시각효과 액션은 볼만하나 뭔가 '그이상의 어떤것'을 만들어내진 못했음. 다크나이트? 풉‥엠버허드 매력은 인정~,7,22,7,2018-12-19 20:21:00,0
207,Jonny(cjdg****),DC도 영화재미있게 만들수있잔아요!! 화이팅~~,10,22,7,2018-12-19 18:43:00,관람객
208,라벤더퍼플(daum****),나쁘진 않았지만 그렇다고 그렇게 좋지도...,7,28,13,2018-12-19 21:34:00,0
209,젊은순수(nam1****),평점테러 있어서 10점 주고 간다...볼만한 히어로물...최근 개봉작중에 스파이더맨 다음으로 좋았다,10,14,0,2018-12-26 14:53:00,0
210,김다희(qkdt****),진짜 그냥 넋 놓고 봤다..,10,15,1,2018-12-26 20:23:00,0
211,lkjh****,대박대박 돈이 안아까워요,10,15,1,2018-12-25 21:35:00,0
212,데느님(z2in****),"어쩌다 DC의 가장이 되버린 아쿠아맨, 아쿠아맨의 진정한 주인공은 메라였다.",8,15,1,2018-12-24 15:43:00,0
213,히비(dxka****),영상이랑 액션은 괜찮은데 스토리가..,8,15,1,2018-12-23 02:24:00,0
214,pjw5****,진심 아이언맨보다 재밋다,10,17,3,2018-12-23 01:01:00,0
215,lche****,원더우먼이 최고였는데 아쿠아맨으로 갈아탔다 메라존예....,10,18,4,2018-12-20 15:47:00,0
216,내가그린기린그림은(yakh****),눈이 황홀한 영화ㅠㅠ보는 내내 입벌리게됨 ㅋㅋ,10,20,6,2018-12-20 11:56:00,관람객
217,장지민(pink****),"영화 막바지에 노래부분 나오는데, 사람들 끝난줄 알고, 나감 ㅜㅜ노래끝나고, 2편 암시하는 주인공 저격하는 놈들 대화부분있는데영화관관리하는사람도 사람들 노래중에 , 나가니깐 끝난줄 알고,문 활짝 열던데, 영화 수준좀...",10,29,15,2018-12-19 12:50:00,관람객
